BUSN1001	Business Reporting and Analysis	6
BUSN1002	Accounting Processes and Systems	6
BUSN1101	Introduction to Commercial Law	6
COMP1100	Introduction to Programming and Algorithms	6
COMP1710	Web Development and Design	6
ECHI1006	The Australian Economy: Past and Present	6
ECON1100	Economics 1 (H)	6
ECON1101	Microeconomics 1	6
ECON1102	Macroeconomics 1	6
EMET1001	Foundations of Economic and Financial Models	6
ESEN1101	Essential University English	6
FINM1001	Foundations of Finance	6
INFS1001	Business Information Systems	6
MATH1013	Mathematics and Applications 1	6
MATH1014	Mathematics and Applications 2	6
MATH1113	Mathematical Foundations for Statistics	6
MATH1115	Mathematics and Applications 1 Honours	6
MATH1116	Mathematics and its Applications 2 Honours	6
MGMT1003	Management, People and Organisations	6
STAT1003	Statistical Techniques	6
STAT1008	Quantitative Research Methods	6
STAT1031
ACST3001	Special Topics in Actuarial Studies	6
ACST4031	Actuarial Control Cycle A1	6
ACST4032	Actuarial Control Cycle A2	6
ACST4033	Actuarial Control Cycle B	6
ANIP3005	Australian National Internship B	12
BUSI2022	Dynamics of Business in the Americas (Not offered in 2017)	6
BUSI2023	Dynamics of Asian Business	6
BUSI2024	Dynamics of Business in the Middle East	6
BUSI2025	International Business	6
BUSI2027	Development of Modern Business (Not offered in 2017)	6
BUSI2034	Dynamics of European Business	6
BUSI3020	International Strategic Management	6
BUSI3024	International Marketing	6
BUSI3028	Business in China (Not offered in 2017)	6
BUSI3029	Cross-Cultural Management (Not offered in 2017)	6
BUSI3030	International Supply Chain Management	6
BUSN2011	Management Accounting	6
BUSN2015	Company Accounting	6
BUSN2101	Law of Business Entities	6
BUSN2036	Financial Statement Analysis	6
BUSN3001	Accounting Theory	6
BUSN3002	Auditing	6
BUSN3003	Advanced Management Accounting (Not offered in 2017)	6
BUSN3006	Public Sector Accounting	6
BUSN3008	Financial Reporting by Corporations	6
BUSN3014	Principles of Tax Law	6
BUSN3017	Corporate Social Responsibility, Accountability and Reporting	6
BUSN3059	Case Studies in Commerce	6
BUSN3060	Special Topics in Commerce	6
CBEA3001	Special Industry Project	6
CBEA3066	Global Business Immersion	6
CBEA3070	ANU College of Business and Economics Internship Project (UG)	6
COMP2400	Relational Databases	6
COMP2410	Networked Information Systems	6
COMP3120	Managing Software Development	6
