"
                    Code
                ","
                    Title
                ","
                    Study As
                ","
                    Career
                ","
                    ATAR
                ","
                    Years
                ","
                    Delivery
                "
1007XACHVE,ANU Achieve,Single,Non-award,-,0.5,In Person
1007XACTVT,ANU Activate,Single,Non-award,-,0.5,In Person
1007XADVNC,ANU Advanced,Single,Non-award,-,0.5,In Person
1003XEXPRS,ANU Express,Single,Non-award,75,0.5,In Person
1006XSRS,ANU Summer Research Scholarship Program,Single,Non-award,-,1,In Person
BACCT,Bachelor of Accounting,Flexible,Undergraduate,86,3,In Person
HACCT,Bachelor of Accounting (Honours),Single,Undergraduate,-,1,In Person
BACTS,Bachelor of Actuarial Studies,Flexible,Undergraduate,95,3,In Person
HACTS,Bachelor of Actuarial Studies (Honours),Single,Undergraduate,-,1,In Person
AACOM,Bachelor of Advanced Computing (Honours),Flexible,Undergraduate,90,4,In Person
AACRD,Bachelor of Advanced Computing (Research and Development) (Honours),Flexible,Undergraduate,99,4,In Person
BADAN,Bachelor of Applied Data Analytics,Flexible,Undergraduate,95,3,In Person
HADAN,Bachelor of Applied Data Analytics (Honours),Single,Undergraduate,-,1,In Person
BAPRC,Bachelor of Archaeological Practice,Flexible,Undergraduate,80,3,In Person
HAPRC,Bachelor of Archaeological Practice (Honours),Single,Undergraduate,-,1,In Person
BAHCR,Bachelor of Art History and Curatorship,Flexible,Undergraduate,80,3,In Person
HAHCR,Bachelor of Art History and Curatorship (Honours),Single,Undergraduate,-,1,In Person
BARTS,Bachelor of Arts,Flexible,Undergraduate,80,3,In Person
HART2,Bachelor of Arts (Honours),Single,Undergraduate,-,1,In Person
HARTS,Bachelor of Arts (Honours),Single,Undergraduate,-,1,In Person
BASIA,Bachelor of Asian Studies,Flexible,Undergraduate,80,3,In Person
HASIA,Bachelor of Asian Studies (Honours),Single,Undergraduate,-,1,In Person
BAPYA,Bachelor of Asia-Pacific Studies (Year in Asia),Single,Undergraduate,-,4,In Person
BBIOT,Bachelor of Biotechnology,Flexible,Undergraduate,80,3,In Person
HBIOT,Bachelor of Biotechnology (Honours),Single,Undergraduate,-,1,In Person
BBUSA,Bachelor of Business Administration,Flexible,Undergraduate,82,3,In Person
HBUSA,Bachelor of Business Administration (Honours),Single,Undergraduate,-,1,In Person
BCLAS,Bachelor of Classical Studies,Flexible,Undergraduate,80,3,In Person
HCLAS,Bachelor of Classical Studies (Honours),Single,Undergraduate,-,1,In Person
BCOMM,Bachelor of Commerce,Flexible,Undergraduate,82,3,In Person
HCOMM,Bachelor of Commerce (Honours),Single,Undergraduate,-,1,In Person
BCRIM,Bachelor of Criminology,Flexible,Undergraduate,80,3,In Person
HCRIM,Bachelor of Criminology (Honours),Single,Undergraduate,-,1,In Person
BDESN,Bachelor of Design,Flexible,Undergraduate,-,3,In Person
HDESA,Bachelor of Design Arts (Honours),Single,Undergraduate,-,1,In Person
BDEVS,Bachelor of Development Studies,Flexible,Undergraduate,80,3,In Person
HDEVS,Bachelor of Development Studies (Honours),Single,Undergraduate,-,1,In Person
BECON,Bachelor of Economics,Flexible,Undergraduate,86,3,In Person
HECON,Bachelor of Economics (Honours),Single,Undergraduate,-,1,In Person
AENGI,Bachelor of Engineering (Honours),Flexible,Undergraduate,90,4,In Person
AENRD,Bachelor of Engineering (Research and Development) (Honours),Flexible,Undergraduate,99,4,In Person
BENSU,Bachelor of Environment and Sustainability,Flexible,Undergraduate,80,3,In Person
HENSU,Bachelor of Environment and Sustainability (Honours),Single,Undergraduate,-,1,In Person
AENSU,Bachelor of Environment and Sustainability Advanced (Honours),Single,Undergraduate,95,4,In Person
HENVS,Bachelor of Environmental Studies (Honours),Single,Undergraduate,-,1,In Person
BEURO,Bachelor of European Studies,Flexible,Undergraduate,80,3,In Person
HEURO,Bachelor of European Studies (Honours),Single,Undergraduate,-,1,In Person
