"
                Code
            ","
                Title
            ","
                Type
            ","
                Career
            ","
                Units
            "
ACCT-MAJ,Accounting,Major,Undergraduate,48
AGRK-MAJ,Ancient Greek,Major,Undergraduate,48
ANCH-MAJ,Ancient History,Major,Undergraduate,48
ANVI-MAJ,Animation and Video Major,Major,Undergraduate,48
ANTH-MAJ,Anthropology,Major,Undergraduate,48
APST-MAJ,Applied Statistics,Major,Undergraduate,48
ARAB-MAJ,Arabic,Major,Undergraduate,48
ARCH-MAJ,Archaeology,Major,Undergraduate,48
ASPP-MAJ,Asia-Pacific Politics,Major,Undergraduate,48
SECU-MAJ,Asia-Pacific Security Studies,Major,Undergraduate,48
ACMK-MAJ,Asian Capital Markets,Major,Undergraduate,48
AHIST-MAJ,Asian History,Major,Undergraduate,48
ASIA-MAJ,Asian Studies,Major,Undergraduate,48
ACMG-MAJ,"Asian and Pacific Culture, Media and Gender",Major,Undergraduate,48
AUIS-MAJ,Australian Indigenous Studies,Major,Undergraduate,48
BCHM-MAJ,Biochemistry,Major,Undergraduate,48
BIAN-MAJ,Biological Anthropology,Major,Undergraduate,48
BMSY-MAJ,Biomedical Systems,Major,Undergraduate,48
BUSN-MAJ,Business Information Systems,Major,Undergraduate,48
CPMK-MAJ,Capital Markets,Major,Undergraduate,48
CMBI-MAJ,Cell & Molecular Biology,Major,Undergraduate,48
CERM-MAJ,Ceramics,Major,Undergraduate,48
CDAR-MAJ,Ceramics Design Arts,Major,Undergraduate,48
CHEM-MAJ,Chemistry,Major,Undergraduate,48
CHEM-MAJ,Chemistry,Major,Undergraduate,48
CHIN-MAJ,Chinese Language,Major,Undergraduate,48
CHST-MAJ,Chinese Studies,Major,Undergraduate,48
CSCI-MAJ,Computer Science,Major,Undergraduate,48
CSCI-MAJ,Computer Science,Major,Undergraduate,48
COMS-MAJ,Computer Systems,Major,Undergraduate,48
EURO-MAJ,Contemporary Europe,Major,Undergraduate,48
CORP-MAJ,Corporate Sustainability,Major,Undergraduate,48
CRIM-MAJ,Criminology,Major,Undergraduate,48
CSEC-MAJ,Cyber Security,Major,Undergraduate,48
DTSC-MAJ,Data Science,Major,Undergraduate,48
DEST-MAJ,Development Studies,Major,Undergraduate,48
DIHU-MAJ,Digital Humanities,Major,Undergraduate,48
DIGS-MAJ,Digital Systems,Major,Undergraduate,48
EART-MAJ,Earth Science,Major,Undergraduate,48
EART-MAJ,Earth Science,Major,Undergraduate,48
EART-MAJ,Earth Science,Major,Undergraduate,48
ECST-MAJ,Economic Studies,Major,Undergraduate,48
ELTS-MAJ,Electronic Systems,Major,Undergraduate,48
ELCO-MAJ,Electronic and Communication Systems,Major,Undergraduate,48
ENGS-MAJ,Engineering Science,Major,Undergraduate,48
ENGL-MAJ,English,Major,Undergraduate,48
ENVS-MAJ,Environmental Science,Major,Undergraduate,48
ENVS-MAJ,Environmental Science,Major,Undergraduate,48
ENST-MAJ,Environmental Studies,Major,Undergraduate,48
ENSY-MAJ,Environmental Systems,Major,Undergraduate,48
EEOB-MAJ,"Evolution, Ecology and Organismal Biology",Major,Undergraduate,48
EEOB-MAJ,"Evolution, Ecology and Organismal Biology",Major,Undergraduate,48
FINM-MAJ,Finance,Major,Undergraduate,48
FREN-MAJ,French Language and Culture,Major,Undergraduate,48
FURN-MAJ,Furniture,Major,Undergraduate,48
