"
                Code
            ","
                Title
            ","
                Type
            ","
                Career
            ","
                Units
            "
ANLR-MIN,ANU Leadership and Research,Minor,Undergraduate,24
ABPS-MIN,Abnormal Psychology,Minor,Undergraduate,24
ABPS-MIN,Abnormal Psychology,Minor,Undergraduate,24
AACC-MIN,Advanced Accounting,Minor,Undergraduate,24
AAGR-MIN,Advanced Ancient Greek,Minor,Undergraduate,24
AARB-MIN,Advanced Arabic,Minor,Undergraduate,24
ACHN-MIN,Advanced Chinese Language,Minor,Undergraduate,24
EARC-MIN,Advanced Environmental Archaeology,Minor,Undergraduate,24
FEAR-MIN,Advanced Forensic and Evolutionary Archaeology,Minor,Undergraduate,24
AFRE-MIN,Advanced French Studies,Minor,Undergraduate,24
AGER-MIN,Advanced German Studies,Minor,Undergraduate,24
GLAR-MIN,Advanced Global Archaeology,Minor,Undergraduate,24
ADHC-MIN,Advanced Hispanic Culture,Minor,Undergraduate,24
ADHL-MIN,Advanced Hispanic Linguistics,Minor,Undergraduate,24
AITA-MIN,Advanced Italian Studies,Minor,Undergraduate,24
AJPN-MIN,Advanced Japanese Language,Minor,Undergraduate,24
AKOR-MIN,Advanced Korean Language,Minor,Undergraduate,24
ALAT-MIN,Advanced Latin,Minor,Undergraduate,24
APRS-MIN,Advanced Persian,Minor,Undergraduate,24
ASKT-MIN,Advanced Sanskrit Language,Minor,Undergraduate,24
ASPA-MIN,Advanced Spanish Studies,Minor,Undergraduate,24
ADST-MIN,Advanced Studies,Minor,Undergraduate,24
AMER-MIN,American Studies,Minor,Undergraduate,24
AGRK-MIN,Ancient Greek,Minor,Undergraduate,24
ANCH-MIN,Ancient History,Minor,Undergraduate,24
ANTH-MIN,Anthropology,Minor,Undergraduate,24
APLN-MIN,Applied Linguistics,Minor,Undergraduate,24
APST-MIN,Applied Statistics,Minor,Undergraduate,24
APST-MIN,Applied Statistics,Minor,Undergraduate,24
ARAB-MIN,Arabic,Minor,Undergraduate,24
ARCH-MIN,Archaeology,Minor,Undergraduate,24
ASPP-MIN,Asia-Pacific Politics,Minor,Undergraduate,24
SECU-MIN,Asia-Pacific Security Studies,Minor,Undergraduate,24
ASAH-MIN,Asian Art History,Minor,Undergraduate,24
AHIST-MIN,Asian History,Minor,Undergraduate,24
ASIA-MIN,Asian Studies,Minor,Undergraduate,24
APAN-MIN,Asian and Pacific Anthropology,Minor,Undergraduate,24
ACMG-MIN,"Asian and Pacific Culture, Media and Gender",Minor,Undergraduate,24
APLI-MIN,Asian and Pacific Linguistics,Minor,Undergraduate,24
APLF-MIN,Asian and Pacific Literature and Film,Minor,Undergraduate,24
AUIS-MIN,Australian Indigenous Studies,Minor,Undergraduate,24
APOL-MIN,Australian Politics,Minor,Undergraduate,24
BCAM-MIN,Biodiversity Conservation and Management,Minor,Undergraduate,24
BCAM-MIN,Biodiversity Conservation and Management,Minor,Undergraduate,24
BCAM-MIN,Biodiversity Conservation and Management,Minor,Undergraduate,24
BIAN-MIN,Biological Anthropology,Minor,Undergraduate,24
BION-MIN,Biological Neuropsychology,Minor,Undergraduate,24
BION-MIN,Biological Neuropsychology,Minor,Undergraduate,24
BIOL-MIN,Biology,Minor,Undergraduate,24
BMSY-MIN,Biomedical Systems,Minor,Undergraduate,24
BURM-MIN,Burmese Language,Minor,Undergraduate,24
BISM-MIN,Business Information Systems,Minor,Undergraduate,24
LAWE-MIN,Business Law and Professional Ethics,Minor,Undergraduate,24
BPSY-MIN,Business Psychology,Minor,Undergraduate,24
BECE-MIN,Business and Economics Essentials,Minor,Undergraduate,24
CHEM-MIN,Chemistry,Minor,Undergraduate,24
CHEM-MIN,Chemistry,Minor,Undergraduate,24
CHIN-MIN,Chinese Language,Minor,Undergraduate,24
CHST-MIN,Chinese Studies,Minor,Undergraduate,24
CLCH-MIN,Classical Chinese,Minor,Undergraduate,24
