"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ENGL6020,"16th, 17th and 18th  Century Literature","First Semester, 2018",Postgraduate,6,In Person
CBEA6070,ANU College of Business and Economics Internship Project (PG),"First Semester, 2018",Postgraduate,6,In Person
PHYS8011,ANU/NUS Study Program I,"First Semester, 2018",Postgraduate,6,In Person
PHYS8012,ANU/NUS Study Program II,"First Semester, 2018",Postgraduate,6,In Person
HIST6022,Aboriginal and Torres Strait Islander History,"First Semester, 2018",Postgraduate,6,In Person
PHYS8203,Accelerators and their application,"First Semester, 2018",Postgraduate,6,In Person
BUSN7051,Accounting Analytics,"First Semester, 2018",Postgraduate,6,In Person
INFS7004,Accounting Information Systems,"First Semester, 2018",Postgraduate,6,In Person
ACST8040,Actuarial Control Cycle 1,"First Semester, 2018",Postgraduate,6,In Person
LAWS8652,Administrative Decision Making in Australian Migration Law,"First Semester, 2018",Postgraduate,6,Online
LAWS6201,Administrative Law,"First Semester, 2018",Postgraduate,6,In Person
SKRT6002,Advanced  Sanskrit Literature A,"First Semester, 2018",Postgraduate,6,Online
LING6030,Advanced Academic English,"First Semester, 2018",Postgraduate,6,In Person
GREK6125,Advanced Ancient Greek,"First Semester, 2018",Postgraduate,6,In Person
ARAB6503,Advanced Arabic A,"First Semester, 2018",Postgraduate,6,Online
BUSN8056,Advanced Auditing and Assurance Services,"First Semester, 2018",Postgraduate,6,In Person
COMP6445,Advanced Computing Research Methods,"First Semester, 2018",Postgraduate,6,In Person
FINM8004,Advanced Corporate Finance,"First Semester, 2018",Postgraduate,6,In Person
FREN6010,Advanced French I,"First Semester, 2018",Postgraduate,6,In Person
EMSC8021,"Advanced Geochemistry, Petrology and Tectonics","First Semester, 2018",Postgraduate,6,In Person
INDN6104,Advanced Indonesian:  History and Development of the Language,"First Semester, 2018",Postgraduate,6,In Person
FINM8006,Advanced Investments,"First Semester, 2018",Postgraduate,6,In Person
ITAL6509,"Advanced Italian Topics in Language, Culture and Society","First Semester, 2018",Postgraduate,6,In Person
JPNS6506,Advanced Japanese: Language in Context,"First Semester, 2018",Postgraduate,6,In Person
KORE6017,Advanced Korean: Film and Society,"First Semester, 2018",Postgraduate,6,In Person
LATN6125,Advanced Latin,"First Semester, 2018",Postgraduate,6,In Person
CHIN6015,Advanced Literary Chinese,"First Semester, 2018",Postgraduate,6,In Person
MATH6208,Advanced Mathematical Bioinformatics,"First Semester, 2018",Postgraduate,6,In Person
CHIN6524,Advanced Modern Chinese A,"First Semester, 2018",Postgraduate,6,In Person
PERS6005,Advanced Persian A,"First Semester, 2018",Postgraduate,6,In Person
BIOL8702,Advanced Research Techniques,"First Semester, 2018",Postgraduate,12,In Person
SOCY9002,Advanced Social Research Methods,"First Semester, 2018",Postgraduate,6,In Person
LING6033,Advanced Sociophonetics,"First Semester, 2018",Postgraduate,6,In Person
ENGN8637,Advanced Topics in Communications and Signal Processing,"First Semester, 2018",Postgraduate,6,In Person
INFS8201,Advanced Topics in Information Systems Research,"First Semester, 2018",Postgraduate,6,Online
ECON8901,"Advanced Topics in Poverty, Public Policy and Development","First Semester, 2018",Postgraduate,6,In Person
EMSC8018,Advanced Water and Marine Geosciences,"First Semester, 2018",Postgraduate,6,In Person
