"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
ENGL3005,"16th, 17th and 18th Century Literature(H)","First Semester, 2018",Undergraduate,6,In Person
PREP1102,20th Century History,"First Semester, 2018",Undergraduate,6,In Person
ASIA2107,ACICIS International Relations Program,"First Semester, 2018",Undergraduate,6,In Person
CBEA3070,ANU College of Business and Economics Internship Project (UG),"First Semester, 2018",Undergraduate,6,In Person
SCNC5922,ANU/NUS JD (Band 2 NP),"First Semester, 2018",Undergraduate,6,In Person
HIST2022,Aboriginal and Torres Strait Islander History,"First Semester, 2018",Undergraduate,6,In Person
PREP1103,Accounting,"First Semester, 2018",Undergraduate,6,In Person
BUSN3051,Accounting Analytics,"First Semester, 2018",Undergraduate,6,In Person
BUSN4500,Accounting Honours Thesis,"First Semester, 2018",Undergraduate,6,In Person
INFS2005,Accounting Information Systems,"First Semester, 2018",Undergraduate,6,In Person
BUSN1002,Accounting Processes and Systems,"First Semester, 2018",Undergraduate,6,In Person
BUSN3001,Accounting Theory,"First Semester, 2018",Undergraduate,6,In Person
PREP1010,Achieve Literacy,"First Semester, 2018",Undergraduate,9,In Person
PREP1011,Achieve Numeracy,"First Semester, 2018",Undergraduate,9,In Person
PREP1016,Activate Literacy,"First Semester, 2018",Undergraduate,9,In Person
PREP1018,Activate Mathematics,"First Semester, 2018",Undergraduate,9,In Person
PREP1017,Activate Numeracy,"First Semester, 2018",Undergraduate,9,In Person
ACST4031,Actuarial Control Cycle 1,"First Semester, 2018",Undergraduate,6,In Person
ACST4600,Actuarial Research Essay,"First Semester, 2018",Undergraduate,6,In Person
LAWS2201,Administrative Law,"First Semester, 2018",Undergraduate,6,In Person
PREP1013,Advance Literacy,"First Semester, 2018",Undergraduate,9,In Person
PREP1014,Advance Numeracy,"First Semester, 2018",Undergraduate,9,In Person
SKRT3002,Advanced  Sanskrit Literature A,"First Semester, 2018",Undergraduate,6,In Person
LING2107,Advanced Academic English,"First Semester, 2018",Undergraduate,6,In Person
MATH3345,Advanced Algebra 2: Field extensions and Galois Theory,"First Semester, 2018",Undergraduate,6,In Person
MATH3116,Advanced Analysis 1: Metric Spaces and Applications,"First Semester, 2018",Undergraduate,6,In Person
MATH2320,Advanced Analysis 1: Metric Spaces and Applications,"First Semester, 2018",Undergraduate,6,In Person
MATH3320,"Advanced Analysis 2: Topology, Lebesgue Integration and Hilbert Spaces","First Semester, 2018",Undergraduate,6,In Person
PHIL3072,Advanced Analytic Philosophy,"First Semester, 2018",Undergraduate,6,In Person
GREK3125,Advanced Ancient Greek,"First Semester, 2018",Undergraduate,6,In Person
ARAB3001,Advanced Arabic A,"First Semester, 2018",Undergraduate,6,Online
BUSN4056,Advanced Auditing and Assurance Services,"First Semester, 2018",Undergraduate,6,In Person
COMP4560,Advanced Computing Project,"First Semester, 2018",Undergraduate,6,In Person
COMP3560,Advanced Computing R&D Industry Experience,"First Semester, 2018",Undergraduate,0,In Person
COMP2550,Advanced Computing R&D Methods,"First Semester, 2018",Undergraduate,6,In Person
COMP3550,Advanced Computing R&D Project,"First Semester, 2018",Undergraduate,6,In Person
COMP4450,Advanced Computing Research Methods,"First Semester, 2018",Undergraduate,6,Online
COMP4550,Advanced Computing Research Project,"First Semester, 2018",Undergraduate,12,In Person
PHIL3071,Advanced Continental Philosophy,"First Semester, 2018",Undergraduate,6,In Person
FINM4015,Advanced Corporate Finance,"First Semester, 2018",Undergraduate,6,In Person
MATH3342,Advanced Differential Geometry,"First Semester, 2018",Undergraduate,6,In Person
MATH3343,Advanced Foundations of Mathematics,"First Semester, 2018",Undergraduate,6,In Person
FREN3010,Advanced French I,"First Semester, 2018",Undergraduate,6,In Person
EMSC4121,"Advanced Geochemistry, Petrology and Tectonics","First Semester, 2018",Undergraduate,6,In Person
INDN3104,Advanced Indonesian: History and Development of the Language,"First Semester, 2018",Undergraduate,6,In Person
FINM4106,Advanced Investments,"First Semester, 2018",Undergraduate,6,In Person
ITAL3015,"Advanced Italian Topics in Language, Culture and Society","First Semester, 2018",Undergraduate,6,In Person
JPNS3006,Advanced Japanese:  Language in Context,"First Semester, 2018",Undergraduate,6,In Person
KORE3015,Advanced Korean: Film and Society,"First Semester, 2018",Undergraduate,6,In Person
LATN3125,Advanced Latin,"First Semester, 2018",Undergraduate,6,In Person
CHIN3015,Advanced Literary Chinese,"First Semester, 2018",Undergraduate,6,Online or In Person
MATH3353,Advanced Mathematical Bioinformatics,"First Semester, 2018",Undergraduate,6,In Person
MATH1115,Advanced Mathematics and Applications 1,"First Semester, 2018",Undergraduate,6,In Person
CHIN3024,Advanced Modern Chinese A,"First Semester, 2018",Undergraduate,6,In Person
PERS3005,Advanced Persian A,"First Semester, 2018",Undergraduate,6,In Person
PHIL3074,Advanced Philosophical Topics,"First Semester, 2018",Undergraduate,6,In Person
CHEM3202,Advanced Physical & Materials Chemistry,"First Semester, 2018",Undergraduate,6,In Person
PHIL4011,Advanced Readings in Philosophy,"First Semester, 2018",Undergraduate,6,In Person
LING3033,Advanced Sociophonetics,"First Semester, 2018",Undergraduate,6,In Person
SCNC2101,Advanced Studies 1,"First Semester, 2018",Undergraduate,6,In Person
ARTS1101,Advanced Studies 1: Thinking Research,"First Semester, 2018",Undergraduate,6,In Person
SCNC2102,Advanced Studies 2,"First Semester, 2018",Undergraduate,6,In Person
SCNC2103,Advanced Studies 3,"First Semester, 2018",Undergraduate,6,In Person
ARTS2101,Advanced Studies 3,"First Semester, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"First Semester, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"First Semester, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"First Semester, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"First Semester, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"First Semester, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"First Semester, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"First Semester, 2018",Undergraduate,6,In Person
ASIA2114,Advanced Studies in Asia and the Pacific 2,"First Semester, 2018",Undergraduate,6,In Person
ASIA3114,Advanced Studies in Asia and the Pacific 3,"First Semester, 2018",Undergraduate,6,In Person
INFS4201,Advanced Topics in Information Systems Research,"First Semester, 2018",Undergraduate,6,In Person
MATH3351,Advanced Topics in Mathematical Physics,"First Semester, 2018",Undergraduate,6,In Person
PHIL4010,Advanced Topics in Philosophy,"First Semester, 2018",Undergraduate,6,In Person
EMSC4018,Advanced Water and Marine Geosciences,"First Semester, 2018",Undergraduate,6,In Person
BIOL3107,Advances in Medical and Plant Biochemistry,"First Semester, 2018",Undergraduate,6,In Person
BIOL3177,Advances in Molecular Plant Science,"First Semester, 2018",Undergraduate,6,In Person
MKTG2033,Advertising,"First Semester, 2018",Undergraduate,6,In Person
CRIM2005,"Alcohol, Drugs and Crime: Promoting Health and Preventing Consequences","First Semester, 2018",Undergraduate,6,In Person
ASGS1005,Algebra,"First Semester, 2018",Undergraduate,6,In Person
MATH1003,Algebra and Calculus Methods,"First Semester, 2018",Undergraduate,6,In Person
ANUC1003,Algebra and Calculus Methods,"First Semester, 2018",Undergraduate,6,In Person
ARCH4001,An Introduction to Cultural and Environmental Heritage,"First Semester, 2018",Undergraduate,6,In Person
BUSN4007,Analysis of Financial Reporting,"First Semester, 2018",Undergraduate,6,In Person
EMSC4122,Analytical Techniques,"First Semester, 2018",Undergraduate,3,In Person
ANCH1013,Ancient Athens: democracy and empire,"First Semester, 2018",Undergraduate,6,In Person
