"
                Code
            ","
                Title
            ","
                Type
            ","
                Career
            ","
                Units
            "
ACCT-HSPC,Accounting Honours,Specialisation,Undergraduate,24
CHEM-SPEC,Advanced Chemistry,Specialisation,Undergraduate,24
CHEM-SPEC,Advanced Chemistry,Specialisation,Undergraduate,24
ADMA-SPEC,Advanced Mathematics,Specialisation,Undergraduate,24
ADMA-SPEC,Advanced Mathematics,Specialisation,Undergraduate,24
ADPH-SPEC,Advanced Physics,Specialisation,Undergraduate,24
ADPH-SPEC,Advanced Physics,Specialisation,Undergraduate,24
AQBI-SPEC,Advanced Quantitative Biology and Bioinformatics,Specialisation,Undergraduate,24
ANTH-HSPC,Anthropology  Honours,Specialisation,Undergraduate,24
APEC-HSPC,Applied Economics Honours,Specialisation,Undergraduate,24
ARCH-HSPC,Archaeology Honours,Specialisation,Undergraduate,24
ARTH-HSPC,Art History and Theory Honours,Specialisation,Undergraduate,24
ARTI-SPEC,Artificial Intelligence,Specialisation,Undergraduate,24
ASPA-HSPC,Asia-Pacific Studies,Specialisation,Undergraduate,24
ASPA-HSPC,Asia-Pacific Studies Honours,Specialisation,Undergraduate,24
ASAP-SPEC,Astronomy and Astrophysics,Specialisation,Undergraduate,24
ASAP-SPEC,Astronomy and Astrophysics,Specialisation,Undergraduate,24
ASTR-HSPC,Astronomy and Astrophysics Honours,Specialisation,Undergraduate,24
AINS-HSPC,Australian Indigenous Studies Honours,Specialisation,Undergraduate,24
BCHM-SPEC,Biochemistry,Specialisation,Undergraduate,24
BCHM-SPEC,Biochemistry,Specialisation,Undergraduate,24
BCHM-SPEC,Biochemistry,Specialisation,Undergraduate,24
BIAN-HSPC,Biological Anthropology Honours,Specialisation,Undergraduate,24
BIOL-HSPC,Biology Honours,Specialisation,Undergraduate,24
BMSC-SPEC,Biomedical Science,Specialisation,Undergraduate,24
BMSC-SPEC,Biomedical Science,Specialisation,Undergraduate,24
BISS-HSPC,Business Information Systems Honours,Specialisation,Undergraduate,24
CHEM-HSPC,Chemistry Honours,Specialisation,Undergraduate,24
CLAS-HSPC,Classical Studies Honours,Specialisation,Undergraduate,24
CPSN-HSPC,Composition Honours,Specialisation,Undergraduate,24
CFVG-HSPC,Composition for Film and Video Games Honours,Specialisation,Undergraduate,24
COMP-HSPC,Computer Science Honours,Specialisation,Undergraduate,24
COMS-SPEC,Computer Systems,Specialisation,Undergraduate,24
EURO-HSPC,Contemporary Europe Honours,Specialisation,Undergraduate,24
CRIM-HSPC,Criminology Honours,Specialisation,Undergraduate,24
DEST-HSPC,Development Studies Honours,Specialisation,Undergraduate,24
DIGH-HSPC,Digital Humanities Honours,Specialisation,Undergraduate,24
EARP-SPEC,Earth Physics,Specialisation,Undergraduate,24
EARP-SPEC,Earth Physics,Specialisation,Undergraduate,24
EMSC-HSPC,Earth and Marine Science Honours,Specialisation,Undergraduate,24
ECON-HSPC,Economics Honours,Specialisation,Undergraduate,24
ENGL-HSPC,English Honours,Specialisation,Undergraduate,24
ENVI-HSPC,Environment Honours,Specialisation,Undergraduate,24
ENVI-HSPC,Environment Honours,Specialisation,Undergraduate,24
ENVS-HSPC,Environmental Studies Honours,Specialisation,Undergraduate,24
EVEC-SPEC,Evolution and Ecology,Specialisation,Undergraduate,24
EVEC-SPEC,Evolution and Ecology,Specialisation,Undergraduate,24
FINM-HSPC,Finance Honours,Specialisation,Undergraduate,24
GSXC-HSPC,"Gender, Sexuality and Culture Honours",Specialisation,Undergraduate,24
GENE-SPEC,Genetics,Specialisation,Undergraduate,24
GOPT-SPEC,Geochemistry and Petrology,Specialisation,Undergraduate,24
GOPT-SPEC,Geochemistry and Petrology,Specialisation,Undergraduate,24
HIST-HSPC,History Honours,Specialisation,Undergraduate,24
INSY-SPEC,Intelligent Systems,Specialisation,Undergraduate,24
INBS-HSPC,International Business Honours,Specialisation,Undergraduate,24
LANG-HSPC,Language Studies Honours,Specialisation,Undergraduate,24
MGMT-HSPC,Management Honours,Specialisation,Undergraduate,24
MAGS-SPEC,Marine Geoscience,Specialisation,Undergraduate,24
MAGS-SPEC,Marine Geoscience,Specialisation,Undergraduate,24
MKTG-HSPC,Marketing Honours,Specialisation,Undergraduate,24
MPHY-SPEC,Mathematical Physics,Specialisation,Undergraduate,24
MPHY-SPEC,Mathematical Physics,Specialisation,Undergraduate,24
MATH-HSPC,Mathematics Honours,Specialisation,Undergraduate,24
MEDR-HSPC,Medical Research Honours,Specialisation,Undergraduate,24
MBIM-SPEC,Microbiology and Immunology,Specialisation,Undergraduate,24
MBIM-SPEC,Microbiology and Immunology,Specialisation,Undergraduate,24
MECA-HSPC,Middle Eastern and Central Asian Studies Honours,Specialisation,Undergraduate,24
MUSI-HSPC,Music Honours,Specialisation,Undergraduate,24
MTEC-HSPC,Music Technology Honours,Specialisation,Undergraduate,24
MUSY-HSPC,Musicology Honours,Specialisation,Undergraduate,24
NEUR-SPEC,Neuroscience and Physiology,Specialisation,Undergraduate,24
NEUR-SPEC,Neuroscience and Physiology,Specialisation,Undergraduate,24
